卡片编号,网站,你的判断（真做出来的 / 碰巧对了 / 看不出来）,"为什么（判""碰巧对了""的必须写）"
sh-0-w6,购物网站后台（管理员端）,,
sh-114-n7,购物网站后台（管理员端）,,
sh-116-w3,购物网站后台（管理员端）,,
sh-128-n1,购物网站后台（管理员端）,,
sh-157-n7,购物网站后台（管理员端）,,
sh-185-w6,购物网站后台（管理员端）,,
sh-187-w7,购物网站后台（管理员端）,,
sh-193-w6,购物网站后台（管理员端）,,
sh-195-n3,购物网站后台（管理员端）,,
sh-199-n7,购物网站后台（管理员端）,,
sh-245-w5,购物网站后台（管理员端）,,
sh-246-w0,购物网站后台（管理员端）,,
sh-246-w7,购物网站后台（管理员端）,,
sh-3-n6,购物网站后台（管理员端）,,
sh-3-w1,购物网站后台（管理员端）,,
sh-3-w7,购物网站后台（管理员端）,,
sh-345-n5,购物网站后台（管理员端）,,
sh-43-w7,购物网站后台（管理员端）,,
sh-453-n0,购物网站后台（管理员端）,,
sh-462-w0,购物网站后台（管理员端）,,
sh-473-n1,购物网站后台（管理员端）,,
sh-486-n6,购物网站后台（管理员端）,,
sh-492-n6,购物网站后台（管理员端）,,
sh-547-w0,购物网站后台（管理员端）,,
sh-547-w5,购物网站后台（管理员端）,,
sh-772-n0,购物网站后台（管理员端）,,
sh-772-n1,购物网站后台（管理员端）,,
sh-772-n3,购物网站后台（管理员端）,,
sh-772-n4,购物网站后台（管理员端）,,
sh-772-w0,购物网站后台（管理员端）,,
sh-772-w2,购物网站后台（管理员端）,,
sh-772-w3,购物网站后台（管理员端）,,
sh-772-w5,购物网站后台（管理员端）,,
sh-772-w7,购物网站后台（管理员端）,,
sh-774-n0,购物网站后台（管理员端）,,
sh-774-n5,购物网站后台（管理员端）,,
sh-774-n6,购物网站后台（管理员端）,,
sh-774-w1,购物网站后台（管理员端）,,
sh-778-w6,购物网站后台（管理员端）,,
sh-95-w1,购物网站后台（管理员端）,,
